"date","geography","geography code","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"2011","West Oxfordshire","E07000181","Total",104779,51447,53332,102415,2364,2071,71439.93,1.5
"2011","Elmbridge","E07000207","Total",130875,63462,67413,129483,1392,3068,9506.07,13.8
"2011","Epsom and Ewell","E07000208","Total",75102,36412,38690,74026,1076,1278,3407.29,22.0
"2011","Guildford","E07000209","Total",137183,67923,69260,130920,6263,2749,27093.26,5.1
"2011","Mole Valley","E07000210","Total",85375,41749,43626,83985,1390,2024,25832.26,3.3
"2011","Reigate and Banstead","E07000211","Total",137835,67422,70413,134346,3489,2235,12913.41,10.7
"2011","Runnymede","E07000212","Total",80510,39148,41362,77346,3164,1251,7804.32,10.3
"2011","Spelthorne","E07000213","Total",95598,47053,48545,94837,761,1006,4488.44,21.3
"2011","Surrey Heath","E07000214","Total",86144,42868,43276,84440,1704,1743,9509.28,9.1
"2011","Tandridge","E07000215","Total",82998,40158,42840,80916,2082,1590,24818.98,3.3
"2011","Waverley","E07000216","Total",121572,59326,62246,117219,4353,3049,34516.93,3.5
"2011","Woking","E07000217","Total",99198,49144,50054,98282,916,1701,6359.57,15.6
"2011","Adur","E07000223","Total",61182,29513,31669,60424,758,546,4180.71,14.6
"2011","Arun","E07000224","Total",149518,71303,78215,145744,3774,1441,22070.82,6.8
"2011","Chichester","E07000225","Total",113794,54401,59393,110837,2957,2338,78623.08,1.4
"2011","Crawley","E07000226","Total",106597,52698,53899,105859,738,1053,4497.07,23.7
"2011","Horsham","E07000227","Total",131301,63806,67495,128633,2668,2579,53027.07,2.5
"2011","Mid Sussex","E07000228","Total",139860,68462,71398,137291,2569,2467,33402.39,4.2
"2011","Worthing","E07000229","Total",104640,50384,54256,102752,1888,1063,3248.21,32.2
"2011","Bath and North East Somerset","E06000022","Total",176016,86072,89944,169977,6039,2937,34574.08,5.1
"2011","Bournemouth","E06000028","Total",183491,91386,92105,179138,4353,1785,4617.88,39.7
"2011","Bristol, City of","E06000023","Total",428234,213071,215163,418814,9420,3927,10960.76,39.1
"2011","Cornwall","E06000052","Total",532273,257805,274468,523432,8841,6106,354618.74,1.5
"2011","Isles of Scilly","E06000053","Total",2203,1102,1101,2123,80,79,1637.47,1.3
"2011","North Somerset","E06000024","Total",202566,98463,104103,199225,3341,2727,37378.60,5.4
"2011","Plymouth","E06000026","Total",256384,126684,129700,251100,5284,1978,7983.36,32.1
"2011","Poole","E06000029","Total",147645,72121,75524,145103,2542,1718,6475.33,22.8
"2011","South Gloucestershire","E06000025","Total",262767,130424,132343,258207,4560,2948,49694.56,5.3
"2011","Swindon","E06000030","Total",209156,104618,104538,207858,1298,2098,23010.36,9.1
"2011","Torbay","E06000027","Total",130959,63110,67849,127908,3051,1265,6287.40,20.8
"2011","Wiltshire","E06000054","Total",470981,231754,239227,457954,13027,9360,325534.12,1.4
"2011","East Devon","E07000040","Total",132457,63321,69136,129528,2929,2011,81434.66,1.6
"2011","Exeter","E07000041","Total",117773,57211,60562,111808,5965,1302,4702.77,25.0
"2011","Mid Devon","E07000042","Total",77750,38070,39680,76866,884,1102,91293.48,0.9
"2011","North Devon","E07000043","Total",93667,45558,48109,91592,2075,1284,108605.10,0.9
"2011","South Hams","E07000044","Total",83140,40116,43024,81805,1335,1452,88649.78,0.9
"2011","Teignbridge","E07000045","Total",124220,60179,64041,121337,2883,1744,67387.00,1.8
"2011","Torridge","E07000046","Total",63839,31167,32672,62887,952,775,98385.32,0.6
"2011","West Devon","E07000047","Total",53553,26123,27430,51914,1639,946,115963.56,0.5
"2011","Christchurch","E07000048","Total",47752,22874,24878,47298,454,453,5038.96,9.5
"2011","East Dorset","E07000049","Total",87166,41990,45176,86193,973,1224,35436.57,2.5
"2011","North Dorset","E07000050","Total",68583,34216,34367,65572,3011,1385,60921.76,1.1
"2011","Purbeck","E07000051","Total",44973,22028,22945,44334,639,740,40441.57,1.1
"2011","West Dorset","E07000052","Total",99264,47731,51533,96596,2668,1788,108147.42,0.9
"2011","Weymouth and Portland","E07000053","Total",65167,32432,32735,63373,1794,691,4175.88,15.6
"2011","Cheltenham","E07000078","Total",115732,56512,59220,112148,3584,1695,4661.37,24.8
